Removed Pin From Net: NetName=GND Pin=C5-1
Removed Pin From Net: NetName=NetC5_2 Pin=C5-2
Change Component Footprint: Designator=C5 Old Footprint=CAPC3216X152X50LL20T25 New Footprint=FP-C0603C-CF-MFG
Change Component Footprint: Designator=C2 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-GRM033-0_03-MFG
Change Component Footprint: Designator=C3 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-GRM033-0_03-MFG
Change Component Footprint: Designator=R4 Old Footprint=RESC3216X70X50LL05T20 New Footprint=RESC1608X55X30LL15T15
Change Component Comment : Designator=C5 Old Comment=1206AC472KAT1A New Comment=C0603C472J5RAC
Change Component Comment : Designator=C2 Old Comment=C1206C104K3RACTU New Comment=GRM033R60J104KE19D
Change Component Comment : Designator=C3 Old Comment=C1206C104K3RACTU New Comment=GRM033R60J104KE19D
Change Component Comment : Designator=R4 Old Comment=ERJ-8GEYJ105V New Comment=ERJ-3EKF1004V
Change Managed Component Library Link : Designator=C2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B9656782-684D-418C-8497-291A97B71FDF New ItemGUID=FABCD1CC-39F3-471A-AA75-7A6421E1812F Old RevisionGUID=DBE8FA4D-3749-4F63-8E75-F2A7DEE2F943 New RevisionGUID=985DD550-9279-4439-A640-AA0A71002D87
Change Managed Component Library Link : Designator=C3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B9656782-684D-418C-8497-291A97B71FDF New ItemGUID=FABCD1CC-39F3-471A-AA75-7A6421E1812F Old RevisionGUID=DBE8FA4D-3749-4F63-8E75-F2A7DEE2F943 New RevisionGUID=985DD550-9279-4439-A640-AA0A71002D87
Change Managed Component Library Link : Designator=C5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D7A5F8CF-B1D0-4449-824C-27C36DF116F7 New ItemGUID=78B24371-C465-4A28-BF25-216FB6BB6A7F Old RevisionGUID=BE0FCDC1-E55A-498B-BBB4-4FCAF4883723 New RevisionGUID=9EC847A7-5DB1-40B4-A1EE-5BC75D9B4953
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=62D147B8-ABFE-4017-BE3C-102ADE50A2E7 New ItemGUID=A3BCC8F6-70F6-4E80-92C9-D05252E1222B Old RevisionGUID=50DE5F64-5AC7-4F65-8E37-FEE523232267 New RevisionGUID=9DF0B316-06DE-4C16-A807-0FBCBE9D9FD4
Change component parameters: Designator = "R4" ("R4"); Footprint = "RESC3216X70X50LL05T20"; UniqueID = "\LHDYMWYJ" ("\LHDYMWYJ")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1004V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "FP-C1206C-EB-MFG"; UniqueID = "\YPQTKUBQ" ("\YPQTKUBQ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0201"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0201"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.013inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "6E-06oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.012inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "FP-C1206C-EB-MFG"; UniqueID = "\EHEAOQYA" ("\EHEAOQYA")
